//---------------------------------------------------------
// 以下學生及成績資料均為程式任意產生, 並非真實數據.
// stuNo, course, score
//---------------------------------------------------------

120034,自然,20
120034,寫作,4
120035,國文,38
120035,英語,46
120035,數學,38
120035,社會,32
120035,自然,37
120035,寫作,4
120036,國文,28
120036,英語,35
120036,數學,29
120036,社會,29
120036,自然,29
120036,寫作,4
120037,國文,50
120037,英語,46
120037,數學,40
120037,社會,41
120037,自然,43
120037,寫作,4
120038,國文,46
120038,英語,38
120038,數學,40
120038,社會,35
120038,自然,28
120038,寫作,4
120039,國文,44
120039,英語,50
120039,數學,52
120039,社會,38
120039,自然,45
120039,寫作,4
120040,國文,40
120040,英語,50
120040,數學,44
120040,社會,37
120040,自然,48
120040,寫作,5
120041,國文,48
120041,英語,43
120041,數學,36
120041,社會,38
120041,自然,41
120041,寫作,5
120042,國文,40
120042,英語,43
120042,數學,38
120042,社會,38
120042,自然,44
120042,寫作,4
120043,國文,38
120043,英語,42
120043,數學,34
120043,社會,29
120043,自然,33
120043,寫作,5
120044,國文,48
120044,英語,50
120044,數學,49
120044,社會,33
120044,自然,35
120044,寫作,5
120045,國文,48
120045,英語,50
120045,數學,34
120045,社會,42
120045,自然,41
120045,寫作,4
120046,國文,35
120046,英語,48
120046,數學,38
120046,社會,37
120046,自然,34
120046,寫作,4
120047,國文,48
120047,英語,25
120047,數學,44
120047,社會,48
120047,自然,38
120047,寫作,4
120048,國文,37
120048,英語,42
120048,數學,44
120048,社會,30
120048,自然,34
120048,寫作,5
120049,國文,38
120049,英語,60
120049,數學,42
120049,社會,49
120049,自然,40
120049,寫作,4
120050,國文,34
120050,英語,42
120050,數學,36
120050,社會,32
120050,自然,30
120050,寫作,4
120051,國文,46
120051,英語,46
120051,數學,42
120051,社會,45
120051,自然,49
120051,寫作,3
120052,國文,34
120052,英語,42
120052,數學,34
120052,社會,33
120052,自然,37
120052,寫作,4
120053,國文,42
120053,英語,60
120053,數學,36
120053,社會,43
120053,自然,41
120053,寫作,5
120054,國文,38
120054,英語,50
120054,數學,30
120054,社會,29
120054,自然,26
120054,寫作,5
120055,國文,46
120055,英語,54
120055,數學,42
120055,社會,33
120055,自然,39
120055,寫作,4
120056,國文,35
120056,英語,46
120056,數學,44
120056,社會,35
120056,自然,40
120056,寫作,4
120057,國文,46
120057,英語,35
120057,數學,34
120057,社會,42
120057,自然,38
120057,寫作,4
120058,國文,46
120058,英語,54
120058,數學,47
120058,社會,45
120058,自然,45
120058,寫作,5
120059,國文,42
120059,英語,60
120059,數學,38
120059,社會,38
120059,自然,41
120059,寫作,5
120060,國文,46
120060,英語,43
120060,數學,29
120060,社會,42
120060,自然,34
120060,寫作,5
120061,國文,53
120061,英語,48
120061,數學,44
120061,社會,39
120061,自然,44
120061,寫作,5
120062,國文,42
120062,英語,54
120062,數學,49
120062,社會,42
120062,自然,36
120062,寫作,4
120063,國文,50
120063,英語,46
120063,數學,42
120063,社會,38
120063,自然,36
120063,寫作,5
120064,國文,44
120064,英語,54
120064,數學,47
120064,社會,30
120064,自然,45
120064,寫作,4
120065,國文,44
120065,英語,54
120065,數學,52
120065,社會,48
120065,自然,51
120065,寫作,6
120066,國文,50
120066,英語,38
120066,數學,42
120066,社會,41
120066,自然,37
120066,寫作,4
120067,國文,44
120067,英語,48
120067,數學,56
120067,社會,48
120067,自然,40
120067,寫作,4
120068,國文,38
120068,英語,50
120068,數學,49
120068,社會,41
120068,自然,46
120068,寫作,5
120069,國文,37
120069,英語,60
120069,數學,32
120069,社會,45
120069,自然,38
120069,寫作,4
120070,國文,34
120070,英語,50
120070,數學,42
120070,社會,34
120070,自然,41
120070,寫作,4
120071,國文,42
120071,英語,54
120071,數學,30
120071,社會,42
120071,自然,37
120071,寫作,4
120072,國文,42
120072,英語,48
120072,數學,47
120072,社會,41
120072,自然,48
120072,寫作,4
120073,國文,38
120073,英語,60
120073,數學,38
120073,社會,42
120073,自然,41
120073,寫作,5
120074,國文,40
120074,英語,54
120074,數學,40
120074,社會,39
120074,自然,46
120074,寫作,4
120075,國文,28
120075,英語,48
120075,數學,36
120075,社會,30
120075,自然,29
120075,寫作,5
120076,國文,40
120076,英語,46
120076,數學,38
120076,社會,31
120076,自然,35
120076,寫作,4
120077,國文,42
120077,英語,48
120077,數學,47
120077,社會,42
120077,自然,45
120077,寫作,5
120078,國文,50
120078,英語,60
120078,數學,30
120078,社會,42
120078,自然,43
120078,寫作,4
120079,國文,27
120079,英語,50
120079,數學,47
120079,社會,29
120079,自然,43
120079,寫作,5
120080,國文,38
120080,英語,38
120080,數學,36
120080,社會,29
120080,自然,44
120080,寫作,3
120081,國文,53
120081,英語,29
120081,數學,49
120081,社會,41
120081,自然,39
120081,寫作,3
120082,國文,37
120082,英語,54
120082,數學,42
120082,社會,43
120082,自然,36
120082,寫作,6
120083,國文,46
120083,英語,43
120083,數學,32
120083,社會,42
120083,自然,31
120083,寫作,3
120084,國文,42
120084,英語,48
120084,數學,36
120084,社會,39
120084,自然,40
120084,寫作,4
120085,國文,38
120085,英語,46
120085,數學,38
120085,社會,45
120085,自然,35
120085,寫作,4
120086,國文,44
120086,英語,50
120086,數學,42
120086,社會,43
120086,自然,36
120086,寫作,5
120087,國文,32
120087,英語,50
120087,數學,52
120087,社會,37
120087,自然,43
120087,寫作,4
120088,國文,50
120088,英語,46
120088,數學,49
120088,社會,38
120088,自然,44
120088,寫作,4
120089,國文,46
120089,英語,48
120089,數學,34
120089,社會,46
120089,自然,43
120089,寫作,5
120090,國文,28
120090,英語,50
120090,數學,42
120090,社會,33
120090,自然,43
120090,寫作,5
120091,國文,46
120091,英語,31
120091,數學,44
120091,社會,32
120091,自然,41
120091,寫作,5
120092,國文,38
120092,英語,54
120092,數學,42
120092,社會,37
120092,自然,46
120092,寫作,4
120093,國文,27
120093,英語,27
120093,數學,27
120093,社會,25
120093,自然,35
120093,寫作,4
120094,國文,31
120094,英語,35
120094,數學,32
120094,社會,32
120094,自然,32
120094,寫作,5
120095,國文,44
120095,英語,37
120095,數學,36
120095,社會,42
120095,自然,38
120095,寫作,6
120096,國文,50
120096,英語,60
120096,數學,34
120096,社會,51
120096,自然,43
120096,寫作,4
120097,國文,37
120097,英語,38
120097,數學,36
120097,社會,34
120097,自然,31
120097,寫作,3
120098,國文,29
120098,英語,34
120098,數學,36
120098,社會,37
120098,自然,30
120098,寫作,4
120099,國文,35
120099,英語,54
120099,數學,27
120099,社會,41
120099,自然,31
120099,寫作,4
120100,國文,27
120100,英語,38
120100,數學,49
120100,社會,24
120100,自然,41
120100,寫作,4
120101,國文,44
120101,英語,60
120101,數學,30
120101,社會,46
120101,自然,37
120101,寫作,5
120102,國文,50
120102,英語,60
120102,數學,29
120102,社會,38
120102,自然,41
120102,寫作,4
120103,國文,38
120103,英語,50
120103,數學,47
120103,社會,30
120103,自然,35
120103,寫作,4
120104,國文,46
120104,英語,50
120104,數學,42
120104,社會,46
120104,自然,34
120104,寫作,4
120105,國文,34
120105,英語,54
120105,數學,30
120105,社會,36
120105,自然,28
120105,寫作,4
120106,國文,46
120106,英語,43
120106,數學,42
120106,社會,46
120106,自然,45
120106,寫作,4
120107,國文,44
120107,英語,60
120107,數學,42
120107,社會,38
120107,自然,44
120107,寫作,2
120108,國文,42
120108,英語,48
120108,數學,44
120108,社會,43
120108,自然,45
120108,寫作,4
120109,國文,50
120109,英語,40
120109,數學,44
120109,社會,39
120109,自然,43
120109,寫作,4
120110,國文,50
120110,英語,48
120110,數學,25
120110,社會,34
120110,自然,29
120110,寫作,6
120111,國文,42
120111,英語,43
120111,數學,44
120111,社會,34
120111,自然,35
120111,寫作,3
120112,國文,38
120112,英語,46
120112,數學,47
120112,社會,36
120112,自然,43
120112,寫作,4
120113,國文,34
120113,英語,54
120113,數學,27
120113,社會,36
120113,自然,32
120113,寫作,5
120114,國文,44
120114,英語,60
120114,數學,38
120114,社會,36
120114,自然,38
120114,寫作,4
120115,國文,42
120115,英語,48
120115,數學,32
120115,社會,38
120115,自然,40
120115,寫作,4
120116,國文,53
120116,英語,50
120116,數學,44
120116,社會,48
120116,自然,53
120116,寫作,5
120117,國文,53
120117,英語,50
120117,數學,38
120117,社會,51
120117,自然,44
120117,寫作,5
120118,國文,31
120118,英語,43
120118,數學,34
120118,社會,38
120118,自然,39
120118,寫作,4
120119,國文,44
120119,英語,50
120119,數學,42
120119,社會,41
120119,自然,39
120119,寫作,3
120120,國文,35
120120,英語,46
120120,數學,38
120120,社會,29
120120,自然,31
120120,寫作,4
120121,國文,42
120121,英語,42
120121,數學,34
120121,社會,35
120121,自然,35
120121,寫作,5
120122,國文,35
120122,英語,43
120122,數學,47
120122,社會,37
120122,自然,35
120122,寫作,5
120123,國文,40
120123,英語,13
120123,數學,34
120123,社會,41
120123,自然,39
120123,寫作,4
120124,國文,48
120124,英語,48
120124,數學,47
120124,社會,39
120124,自然,45
120124,寫作,4
120125,國文,34
120125,英語,19
120125,數學,34
120125,社會,38
120125,自然,37
120125,寫作,3
120126,國文,44
120126,英語,50
120126,數學,40
120126,社會,43
120126,自然,51
120126,寫作,4
120127,國文,46
120127,英語,54
120127,數學,38
120127,社會,51
120127,自然,46
120127,寫作,5
120128,國文,34
120128,英語,50
120128,數學,38
120128,社會,37
120128,自然,40
120128,寫作,4
120129,國文,25
120129,英語,40
120129,數學,34
120129,社會,27
120129,自然,27
120129,寫作,3
120130,國文,42
120130,英語,35
120130,數學,42
120130,社會,38
120130,自然,48
120130,寫作,5
120131,國文,37
120131,英語,48
120131,數學,42
120131,社會,30
120131,自然,29
120131,寫作,4
120132,國文,38
120132,英語,34
120132,數學,25
120132,社會,36
120132,自然,40
120132,寫作,4
120133,國文,44
120133,英語,40
120133,數學,32
120133,社會,43
120133,自然,38
120133,寫作,4
120134,國文,27
120134,英語,29
120134,數學,30
120134,社會,30
120134,自然,30
120134,寫作,4
120135,國文,44
120135,英語,50
120135,數學,29
120135,社會,37
120135,自然,41
120135,寫作,4
120136,國文,38
120136,英語,46
120136,數學,32
120136,社會,41
120136,自然,36
120136,寫作,5
120137,國文,48
120137,英語,37
120137,數學,44
120137,社會,39
120137,自然,34
120137,寫作,4
120138,國文,25
120138,英語,11
120138,數學,38
120138,社會,29
120138,自然,35
120138,寫作,3
120139,國文,40
120139,英語,50
120139,數學,44
120139,社會,33
120139,自然,28
120139,寫作,4
120140,國文,23
120140,英語,21
120140,數學,32
120140,社會,28
120140,自然,25
120140,寫作,4
120141,國文,23
120141,英語,23
120141,數學,25
120141,社會,29
120141,自然,24
120141,寫作,4
120142,國文,38
120142,英語,23
120142,數學,34
120142,社會,34
120142,自然,40
120142,寫作,4
120143,國文,16
120143,英語,42
120143,數學,32
120143,社會,23
120143,自然,21
120143,寫作,4
120144,國文,38
120144,英語,19
120144,數學,24
120144,社會,31
120144,自然,32
120144,寫作,4
120145,國文,23
120145,英語,29
120145,數學,34
120145,社會,29
120145,自然,29
120145,寫作,5
120146,國文,48
120146,英語,43
120146,數學,47
120146,社會,36
120146,自然,44
120146,寫作,4
120147,國文,44
120147,英語,46
120147,數學,44
120147,社會,38
120147,自然,44
120147,寫作,5
120148,國文,50
120148,英語,46
120148,數學,49
120148,社會,35
120148,自然,46
120148,寫作,4
120149,國文,35
120149,英語,60
120149,數學,42
120149,社會,39
120149,自然,36
120149,寫作,5
120150,國文,46
120150,英語,42
120150,數學,32
120150,社會,45
120150,自然,40
120150,寫作,5
120151,國文,21
120151,英語,38
120151,數學,40
120151,社會,34
120151,自然,31
120151,寫作,4
120152,國文,31
120152,英語,54
120152,數學,32
120152,社會,32
120152,自然,29
120152,寫作,4
120153,國文,42
120153,英語,50
120153,數學,38
120153,社會,39
120153,自然,45
120153,寫作,4
120154,國文,34
120154,英語,54
120154,數學,47
120154,社會,53
120154,自然,37
120154,寫作,4
120155,國文,44
120155,英語,50
120155,數學,40
120155,社會,37
120155,自然,37
120155,寫作,5
120156,國文,35
120156,英語,54
120156,數學,38
120156,社會,39
120156,自然,39
120156,寫作,4
120157,國文,48
120157,英語,46
120157,數學,42
120157,社會,41
120157,自然,38
120157,寫作,4
120158,國文,42
120158,英語,46
120158,數學,40
120158,社會,39
120158,自然,44
120158,寫作,5
120159,國文,40
120159,英語,2
120159,數學,44
120159,社會,51
120159,自然,45
120159,寫作,3
120160,國文,31
120160,英語,50
120160,數學,34
120160,社會,36
120160,自然,33
120160,寫作,4
120161,國文,37
120161,英語,54
120161,數學,22
120161,社會,38
120161,自然,29
120161,寫作,4
120162,國文,42
120162,英語,54
120162,數學,44
120162,社會,32
120162,自然,37
120162,寫作,5
120163,國文,35
120163,英語,46
120163,數學,20
120163,社會,32
120163,自然,35
120163,寫作,4
120164,國文,38
120164,英語,50
120164,數學,44
120164,社會,41
120164,自然,32
120164,寫作,4
120165,國文,38
120165,英語,50
120165,數學,40
120165,社會,41
120165,自然,36
120165,寫作,5
120166,國文,38
120166,英語,54
120166,數學,38
120166,社會,37
120166,自然,43
120166,寫作,3
120167,國文,16
120167,英語,43
120167,數學,29
120167,社會,26
120167,自然,18
120167,寫作,3
120168,國文,32
120168,英語,31
120168,數學,24
120168,社會,37
120168,自然,30
120168,寫作,4
120169,國文,29
120169,英語,48
120169,數學,42
120169,社會,28
120169,自然,37
120169,寫作,4
120170,國文,21
120170,英語,9
120170,數學,20
120170,社會,23
120170,自然,28
120170,寫作,4
120171,國文,44
120171,英語,60
120171,數學,52
120171,社會,32
120171,自然,45
120171,寫作,3
120172,國文,53
120172,英語,54
120172,數學,27
120172,社會,42
120172,自然,40
120172,寫作,5
120173,國文,48
120173,英語,60
120173,數學,47
120173,社會,34
120173,自然,40
120173,寫作,4
120174,國文,53
120174,英語,54
120174,數學,47
120174,社會,46
120174,自然,49
120174,寫作,5
120175,國文,44
120175,英語,54
120175,數學,44
120175,社會,43
120175,自然,45
120175,寫作,4
120176,國文,40
120176,英語,54
120176,數學,52
120176,社會,46
120176,自然,45
120176,寫作,5
120177,國文,40
120177,英語,48
120177,數學,29
120177,社會,35
120177,自然,29
120177,寫作,4
120178,國文,40
120178,英語,50
120178,數學,30
120178,社會,35
120178,自然,41
120178,寫作,5
120179,國文,48
120179,英語,15
120179,數學,34
120179,社會,49
120179,自然,37
120179,寫作,4
120180,國文,40
120180,英語,54
120180,數學,38
120180,社會,41
120180,自然,43
120180,寫作,3
120181,國文,44
120181,英語,60
120181,數學,47
120181,社會,48
120181,自然,46
120181,寫作,4
120182,國文,38
120182,英語,60
120182,數學,40
120182,社會,36
120182,自然,32
120182,寫作,5
120183,國文,27
120183,英語,50
120183,數學,47
120183,社會,38
120183,自然,56
120183,寫作,4
120184,國文,29
120184,英語,54
120184,數學,36
120184,社會,42
120184,自然,33
120184,寫作,5
120185,國文,31
120185,英語,48
120185,數學,47
120185,社會,42
120185,自然,41
120185,寫作,4
120186,國文,34
120186,英語,54
120186,數學,38
120186,社會,34
120186,自然,35
120186,寫作,3
120187,國文,32
120187,英語,54
120187,數學,44
120187,社會,35
120187,自然,45
120187,寫作,3
120188,國文,31
120188,英語,54
120188,數學,40
120188,社會,38
120188,自然,45
120188,寫作,3
120189,國文,35
120189,英語,60
120189,數學,38
120189,社會,31
120189,自然,40
120189,寫作,5
120190,國文,32
120190,英語,48
120190,數學,34
120190,社會,38
120190,自然,44
120190,寫作,5
120191,國文,27
120191,英語,43
120191,數學,42
120191,社會,30
120191,自然,31
120191,寫作,3
120192,國文,40
120192,英語,37
120192,數學,17
120192,社會,34
120192,自然,26
120192,寫作,5
120193,國文,42
120193,英語,42
120193,數學,40
120193,社會,48
120193,自然,37
120193,寫作,4
120194,國文,40
120194,英語,40
120194,數學,38
120194,社會,34
120194,自然,39
120194,寫作,3
120195,國文,37
120195,英語,48
120195,數學,38
120195,社會,35
120195,自然,36
120195,寫作,4
120196,國文,37
120196,英語,28
120196,數學,30
120196,社會,36
120196,自然,28
120196,寫作,5
120197,國文,42
120197,英語,29
120197,數學,38
120197,社會,34
120197,自然,33
120197,寫作,3
120198,國文,34
120198,英語,42
120198,數學,29
120198,社會,34
120198,自然,31
120198,寫作,5
120199,國文,48
120199,英語,43
120199,數學,40
120199,社會,35
120199,自然,41
120199,寫作,5
120200,國文,34
120200,英語,46
120200,數學,42
120200,社會,38
120200,自然,35
120200,寫作,5
120201,國文,40
120201,英語,60
120201,數學,52
120201,社會,41
120201,自然,60
120201,寫作,4
120202,國文,38
120202,英語,27
120202,數學,40
120202,社會,43
120202,自然,41
120202,寫作,4
120203,國文,32
120203,英語,35
120203,數學,32
120203,社會,26
120203,自然,27
120203,寫作,3
120204,國文,42
120204,英語,42
120204,數學,34
120204,社會,35
120204,自然,35
120204,寫作,4
120205,國文,46
120205,英語,54
120205,數學,42
120205,社會,46
120205,自然,49
120205,寫作,4
120206,國文,37
120206,英語,48
120206,數學,27
120206,社會,41
120206,自然,23
120206,寫作,5
120207,國文,44
120207,英語,48
120207,數學,52
120207,社會,34
120207,自然,40
120207,寫作,4
120208,國文,29
120208,英語,43
120208,數學,34
120208,社會,30
120208,自然,31
120208,寫作,4
120209,國文,28
120209,英語,54
120209,數學,32
120209,社會,41
120209,自然,39
120209,寫作,5
120210,國文,44
120210,英語,42
120210,數學,40
120210,社會,42
120210,自然,32
120210,寫作,4
120211,國文,44
120211,英語,60
120211,數學,42
120211,社會,42
120211,自然,38
120211,寫作,4
120212,國文,31
120212,英語,46
120212,數學,24
120212,社會,20
120212,自然,21
120212,寫作,5
120213,國文,50
120213,英語,50
120213,數學,42
120213,社會,49
120213,自然,37
120213,寫作,5
120214,國文,35
120214,英語,38
120214,數學,38
120214,社會,38
120214,自然,34
120214,寫作,4
120215,國文,37
120215,英語,38
120215,數學,34
120215,社會,32
120215,自然,40
120215,寫作,4
120216,國文,27
120216,英語,43
120216,數學,34
120216,社會,24
120216,自然,17
120216,寫作,4
120217,國文,44
120217,英語,42
120217,數學,44
120217,社會,34
120217,自然,48
120217,寫作,4
120218,國文,42
120218,英語,54
120218,數學,36
120218,社會,33
120218,自然,36
120218,寫作,4
120219,國文,40
120219,英語,35
120219,數學,36
120219,社會,35
120219,自然,35
120219,寫作,4
120220,國文,32
120220,英語,34
120220,數學,32
120220,社會,22
120220,自然,31
120220,寫作,4
120221,國文,35
120221,英語,38
120221,數學,44
120221,社會,38
120221,自然,37
120221,寫作,4
120222,國文,31
120222,英語,50
120222,數學,38
120222,社會,36
120222,自然,37
120222,寫作,4
120223,國文,44
120223,英語,48
120223,數學,56
120223,社會,41
120223,自然,38
120223,寫作,5
120224,國文,27
120224,英語,38
120224,數學,30
120224,社會,22
120224,自然,23
120224,寫作,5
120225,國文,35
120225,英語,50
120225,數學,47
120225,社會,41
120225,自然,39
120225,寫作,4
120226,國文,37
120226,英語,43
120226,數學,40
120226,社會,41
120226,自然,39
120226,寫作,4
120227,國文,25
120227,英語,50
120227,數學,44
120227,社會,33
120227,自然,44
120227,寫作,4
120228,國文,40
120228,英語,48
120228,數學,40
120228,社會,43
120228,自然,41
120228,寫作,5
120229,國文,38
120229,英語,14
120229,數學,32
120229,社會,36
120229,自然,17
120229,寫作,4
120230,國文,14
120230,英語,34
120230,數學,29
120230,社會,24
120230,自然,30
120230,寫作,4
120231,國文,34
120231,英語,37
120231,數學,38
120231,社會,25
120231,自然,25
120231,寫作,4
120232,國文,24
120232,英語,24
120232,數學,27
120232,社會,24
120232,自然,22
120232,寫作,3
120233,國文,46
120233,英語,48
120233,數學,32
120233,社會,46
120233,自然,31
120233,寫作,4
120234,國文,48
120234,英語,48
120234,數學,27
120234,社會,38
120234,自然,43
120234,寫作,4
120235,國文,38
120235,英語,60
120235,數學,49
120235,社會,37
120235,自然,48
120235,寫作,5
120236,國文,42
120236,英語,50
120236,數學,30
120236,社會,38
120236,自然,39
120236,寫作,4
120237,國文,46
120237,英語,60
120237,數學,44
120237,社會,19
120237,自然,35
120237,寫作,5
120238,國文,37
120238,英語,50
120238,數學,30
120238,社會,32
120238,自然,32
120238,寫作,4
120239,國文,40
120239,英語,60
120239,數學,38
120239,社會,35
120239,自然,35
120239,寫作,5
120240,國文,34
120240,英語,42
120240,數學,47
120240,社會,36
120240,自然,44
120240,寫作,4
120241,國文,46
120241,英語,38
120241,數學,30
120241,社會,32
120241,自然,34
120241,寫作,3
120242,國文,38
120242,英語,32
120242,數學,38
120242,社會,31
120242,自然,34
120242,寫作,4
120243,國文,40
120243,英語,46
120243,數學,49
120243,社會,41
120243,自然,41
120243,寫作,4
120244,國文,48
120244,英語,50
120244,數學,40
120244,社會,46
120244,自然,53
120244,寫作,6
120245,國文,37
120245,英語,48
120245,數學,38
120245,社會,43
120245,自然,41
120245,寫作,4
120246,國文,37
120246,英語,43
120246,數學,42
120246,社會,43
120246,自然,39
120246,寫作,4
120247,國文,56
120247,英語,48
120247,數學,42
120247,社會,45
120247,自然,48
120247,寫作,4
120248,國文,29
120248,英語,50
120248,數學,38
120248,社會,41
120248,自然,43
120248,寫作,4
120249,國文,42
120249,英語,54
120249,數學,56
120249,社會,36
120249,自然,43
120249,寫作,4
120250,國文,42
120250,英語,54
120250,數學,60
120250,社會,53
120250,自然,51
120250,寫作,4
120251,國文,31
120251,英語,60
120251,數學,36
120251,社會,36
120251,自然,39
120251,寫作,5
120252,國文,28
120252,英語,43
120252,數學,38
120252,社會,42
120252,自然,40
120252,寫作,3
120253,國文,40
120253,英語,46
120253,數學,30
120253,社會,35
120253,自然,36
120253,寫作,5
120254,國文,34
120254,英語,48
120254,數學,34
120254,社會,39
120254,自然,33
120254,寫作,5
120255,國文,44
120255,英語,50
120255,數學,30
120255,社會,26
120255,自然,39
120255,寫作,5
120256,國文,44
120256,英語,50
120256,數學,27
120256,社會,37
120256,自然,37
120256,寫作,4
120257,國文,40
120257,英語,46
120257,數學,32
120257,社會,31
120257,自然,38
120257,寫作,4
120258,國文,29
120258,英語,19
120258,數學,18
120258,社會,20
120258,自然,21
120258,寫作,4
120259,國文,46
120259,英語,46
120259,數學,40
120259,社會,30
120259,自然,31
120259,寫作,4
120260,國文,38
120260,英語,48
120260,數學,47
120260,社會,38
120260,自然,38
120260,寫作,4
120261,國文,44
120261,英語,48
120261,數學,42
120261,社會,32
120261,自然,36
120261,寫作,5
120262,國文,38
120262,英語,37
120262,數學,25
120262,社會,34
120262,自然,35
120262,寫作,4
120263,國文,35
120263,英語,42
120263,數學,56
120263,社會,13
120263,自然,29
120263,寫作,3
120264,國文,48
120264,英語,16
120264,數學,38
120264,社會,33
120264,自然,34
120264,寫作,4
120265,國文,48
120265,英語,48
120265,數學,36
120265,社會,43
120265,自然,39
120265,寫作,4
120266,國文,35
120266,英語,37
120266,數學,25
120266,社會,29
120266,自然,29
120266,寫作,5
120267,國文,42
120267,英語,43
120267,數學,47
120267,社會,35
120267,自然,43
120267,寫作,6
120268,國文,38
120268,英語,48
120268,數學,38
120268,社會,32
120268,自然,44
120268,寫作,4
120269,國文,50
120269,英語,50
120269,數學,15
120269,社會,37
120269,自然,26
120269,寫作,5
120270,國文,50
120270,英語,46
120270,數學,27
120270,社會,42
120270,自然,34
120270,寫作,4
120271,國文,29
120271,英語,35
120271,數學,36
120271,社會,29
120271,自然,31
120271,寫作,3
120272,國文,44
120272,英語,46
120272,數學,38
120272,社會,39
120272,自然,45
120272,寫作,4
120273,國文,35
120273,英語,46
120273,數學,44
120273,社會,28
120273,自然,30
120273,寫作,5
120274,國文,37
120274,英語,60
120274,數學,44
120274,社會,41
120274,自然,43
120274,寫作,5
120275,國文,40
120275,英語,43
120275,數學,47
120275,社會,45
120275,自然,44
120275,寫作,4
120276,國文,31
120276,英語,48
120276,數學,29
120276,社會,31
120276,自然,33
120276,寫作,4
120277,國文,40
120277,英語,60
120277,數學,25
120277,社會,42
120277,自然,35
120277,寫作,5
120278,國文,46
120278,英語,19
120278,數學,29
120278,社會,39
120278,自然,35
120278,寫作,5
120279,國文,48
120279,英語,48
120279,數學,40
120279,社會,33
120279,自然,43
120279,寫作,5
120280,國文,42
120280,英語,48
120280,數學,42
120280,社會,35
120280,自然,36
120280,寫作,6
120281,國文,40
120281,英語,38
120281,數學,17
120281,社會,32
120281,自然,26
120281,寫作,5
120282,國文,53
120282,英語,50
120282,數學,44
120282,社會,46
120282,自然,36
120282,寫作,6
120283,國文,40
120283,英語,54
120283,數學,36
120283,社會,32
120283,自然,38
120283,寫作,5
